phot,bg,filenumber,frame,numberInGroup,x,y,z,locprec,locprecz
2539.144,74.57117,1,7761,1,358.3759,225.3483,-1.080888,9.927955,33.53855
2911.633,63.30026,1,7765,1,366.1525,183.7599,-152.2561,8.984466,30.64282
2117.367,64.18182,1,7803,1,302.0306,346.1572,-104.1791,11.02752,39.64679
3187.55,65.82137,1,7817,1,615.0894,193.7244,-102.6753,8.122687,28.35741
12777.2,205.5465,1,7829,3,454.493,67.63094,-91.80951,3.838267,12.90065
4406.425,71.26877,1,7830,1,438.0076,154.0739,-32.22106,6.445041,21.23702
5454.421,137.1828,1,7832,2,443.8383,236.1738,-122.6719,6.612277,23.10742
2595.675,72.22109,1,7834,1,430.0457,4.421143,-147.4495,10.10145,35.36313
18203.7,564.4966,1,7859,6,565.3466,178.6105,-116.1542,3.81201,13.62204
3107.221,97.40009,1,7907,1,365.3946,192.7739,-230.0756,10.98611,35.94614
10573.32,144.6835,1,7930,2,443.6823,160.2205,-103.605,4.114603,13.18776
11078.74,130.9201,1,7929,2,430.0858,111.3006,-84.14857,3.816071,12.47993
2301.399,95.50677,1,7992,1,468.1591,185.9558,-133.4532,11.83423,43.59536
2512.967,66.05522,1,7996,1,487.8681,256.5554,-79.20039,9.606129,34.1217
1670.772,49.07984,1,8047,1,478.41,275.8562,-162.1287,13.02061,44.74726
10431.08,277.5013,1,8065,4,570.4749,300.112,-61.09932,4.705046,16.43217
2381.93,65.9188,1,8098,1,636.3795,199.6929,-139.5053,10.42518,36.96412
3048.759,71.08874,1,8138,1,489.9653,261.9978,-201.1754,9.700238,31.50251
20449.68,337.7182,1,8169,5,371.2053,195.6369,-182.723,3.311129,10.54647
2668.967,86.73313,1,8185,1,333.463,207.3975,-123.4207,10.1584,36.68498
22354.98,322.2686,1,8398,3,675.7038,259.73,-60.0792,2.788686,9.231503
2291.244,51.86194,1,8436,1,337.457,308.7975,-93.4996,9.713453,34.37173
9513.334,161.8191,1,8575,3,387.0734,203.8769,-177.1407,5.016652,16.15651
3670.653,67.58875,1,8574,1,398.3624,177.8049,-221.6346,8.658977,27.52271
2971.55,61.25522,1,8613,1,324.8893,348.5473,-141.8512,8.706589,29.86018
11477.28,209.5204,1,8683,2,502.0652,237.4964,-115.2835,4.138354,14.08342
21993.11,548.9733,1,8695,5,431.9519,212.1559,-122.2131,3.383423,11.49735
2737.249,81.07915,1,8691,1,411.4739,170.9128,-31.01142,9.431539,32.99504
1874.14,65.77348,1,8781,1,311.1364,219.1821,-148.1209,12.74702,45.08848
10766.06,212.8186,1,8804,4,463.2274,273.8169,-184.224,4.79879,15.64253
